iter	Passed	Remaining
0	3	350
1	6	332
2	10	351
3	13	328
4	16	314
5	19	309
6	23	306
7	26	299
8	29	294
9	32	293
10	36	292
11	40	294
12	43	288
13	45	281
14	49	279
15	52	278
16	55	271
17	58	266
18	61	261
19	63	255
20	66	250
21	69	245
22	72	244
23	75	239
24	78	234
25	80	230
26	84	227
27	86	222
28	89	220
29	92	216
30	96	214
31	99	211
32	102	208
33	104	203
34	108	200
35	111	197
36	115	195
37	118	192
38	121	189
39	124	186
40	127	183
41	128	177
42	131	173
43	134	171
44	137	168
45	140	164
46	142	161
47	145	157
48	148	154
49	150	150
50	152	146
51	155	143
52	158	140
53	160	136
54	161	132
55	164	129
56	167	126
57	169	122
58	172	119
59	174	116
60	177	113
61	179	110
62	182	106
63	184	103
64	187	100
65	189	97
66	192	94
67	196	92
68	199	89
69	202	86
70	205	83
71	208	81
72	211	78
73	213	75
74	217	72
75	219	69
76	221	66
77	224	63
78	227	60
79	230	57
80	232	54
81	235	51
82	238	48
83	241	45
84	244	43
85	247	40
86	249	37
87	252	34
88	255	31
89	261	29
90	263	26
91	266	23
92	269	20
93	272	17
94	275	14
95	277	11
96	279	8
97	282	5
98	286	2
99	288	0
